band,wavelength,value
1,381.006,0
2,388.409,0
3,395.816,0
4,403.225,0
5,410.638,0
6,418.054,0
7,425.472,0
8,432.893,0
9,440.317,0
10,447.743,0
11,455.17,0
12,462.599,0
13,470.03,0
14,477.463,0
15,484.897,0
16,492.333,0
17,499.771,0
18,507.21,0
19,514.65,0
20,522.091,0
21,529.533,0
22,536.977,0
23,544.421,0
24,551.867,0
25,559.314,0
26,566.762,0
27,574.209,0
28,581.659,0
29,589.108,0
30,596.558,0
31,604.01,0
32,611.462,0
33,618.915,0
34,626.368,0
35,633.821,0
36,641.276,0
37,648.73,0
38,656.186,0
39,663.641,0
40,671.098,0
41,678.554,0
42,686.01,0
43,693.468,0
44,700.925,0
45,708.384,0
46,715.841,0
47,723.299,0
48,730.759,0
49,738.217,0
50,745.677,0
51,753.136,0
52,760.596,0
53,768.056,0
54,775.516,0
55,782.978,0
56,790.438,0
57,797.899,0
58,805.362,0
59,812.823,0
60,820.285,0
61,827.746,0
62,835.207,0
63,842.67,0
64,850.131,0
65,857.594,0
66,865.055,0
67,872.518,0
68,879.98,0
69,887.441,0
70,894.904,0
71,902.366,0
72,909.829,0
73,917.291,0
74,924.754,0
75,932.216,0
76,939.679,0
77,947.14,0
78,954.603,0
79,962.064,0
80,969.527,0
81,976.988,0
82,984.45,0
83,991.911,0
84,999.373,0
85,1006.834,0
86,1014.295,0
87,1021.757,0
88,1029.217,0
89,1036.678,0
90,1044.138,0
91,1051.599,0
92,1059.06,0
93,1066.52,0
94,1073.98,0
95,1081.44,0
96,1088.9,0
97,1096.36,0
98,1103.818,0
99,1111.278,0
100,1118.737,0
101,1126.196,0
102,1133.655,0
103,1141.113,0
104,1148.572,0
105,1156.03,0
106,1163.488,0
107,1170.946,0
108,1178.404,0
109,1185.862,0
110,1193.318,0
111,1200.776,0
112,1208.233,0
113,1215.69,0
114,1223.147,0
115,1230.604,0
116,1238.06,0
117,1245.515,0
118,1252.972,0
119,1260.428,0
120,1267.883,0
121,1275.339,-9.64E-05
122,1282.794,-0.000136993
123,1290.25,-0.000194849
124,1297.705,-0.000276657
125,1305.16,-0.000393404
126,1312.614,-0.000559399
127,1320.068,-0.000797279
128,1327.523,-0.00114129
129,1334.976,-0.001639095
130,1342.429,-0.00236632
131,1349.882,-0.003423813
132,1357.335,-0.004952169
133,1364.787,-0.007124467
134,1372.238,-0.010124443
135,1379.691,-0.014192578
136,1387.142,-0.019635915
137,1394.593,-0.026371787
138,1402.043,-0.03220713
139,1409.494,-0.032535382
140,1416.944,-0.026053887
141,1424.393,-0.022145648
142,1431.843,-0.0150785
143,1439.292,-0.007068629
144,1446.74,-0.005009242
145,1454.189,-0.003494838
146,1461.637,-0.002632253
147,1469.085,-0.003079863
148,1476.532,-0.003688837
149,1483.98,-0.002126016
150,1491.426,-0.001153554
151,1498.873,-0.000729675
152,1506.319,-0.000562816
153,1513.765,-0.000418244
154,1521.21,-0.000274524
155,1528.655,-0.000175493
156,1536.101,-0.000122971
157,1543.545,-9.28E-05
158,1550.989,-6.78E-05
159,1558.433,-8.29E-05
160,1565.877,-8.69E-05
161,1573.319,-5.51E-05
162,1580.762,-4.71E-05
163,1588.205,-9.95E-05
164,1595.647,-0.000334866
165,1603.089,-0.001310836
166,1610.53,-0.005185425
167,1617.97,-0.018077104
168,1625.41,-0.051158948
169,1632.851,-0.098673436
170,1640.29,-0.1072694
171,1647.73,-0.114823088
172,1655.169,-0.093695944
173,1662.607,-0.130725074
174,1670.046,-0.14709248
175,1677.484,-0.070364989
176,1684.921,-0.082032812
177,1692.358,-0.104427865
178,1699.795,-0.141066936
179,1707.231,-0.168997132
180,1714.667,-0.085334925
181,1722.103,-0.10981052
182,1729.538,-0.138483337
183,1736.973,-0.091515652
184,1744.407,-0.062013556
185,1751.841,-0.044423564
186,1759.275,-0.041896735
187,1766.708,-0.057738199
188,1774.142,-0.08363601
189,1781.574,-0.055973593
190,1789.007,-0.089207428
191,1796.439,-0.065344879
192,1803.87,-0.032288002
193,1811.301,-0.03578471
194,1818.731,-0.037502588
195,1826.161,-0.011723998
196,1833.591,-0.004344514
197,1841.021,-0.000257827
198,1848.449,-0.000284695
199,1855.877,-0.000110789
200,1863.305,-0.000302589
201,1870.733,-0.000139034
202,1878.16,-0.000358063
203,1885.587,-0.000474004
204,1893.013,-0.000366444
205,1900.439,-0.000229074
206,1907.864,-0.000207052
207,1915.289,-0.001049928
208,1922.713,-0.002498609
209,1930.137,-0.001581282
210,1937.561,-0.001367758
211,1944.984,-0.001502705
212,1952.407,-0.000877453
213,1959.829,-0.000726787
214,1967.252,-0.000967337
215,1974.673,-0.000789828
216,1982.095,-0.00069894
217,1989.515,-0.000443061
218,1996.935,-0.000286195
219,2004.355,-0.00025127
220,2011.775,-0.000180714
221,2019.193,-0.000207061
222,2026.612,-0.00013611
223,2034.03,-0.000109148
224,2041.447,-6.68E-05
225,2048.865,-5.38E-05
226,2056.281,-3.98E-05
227,2063.696,-3.90E-05
228,2071.112,-5.50E-05
229,2078.527,-7.49E-05
230,2085.942,-8.51E-05
231,2093.356,-0.000119885
232,2100.769,-0.000195232
233,2108.182,-0.000405487
234,2115.594,-0.001076109
235,2123.006,-0.002973823
236,2130.418,-0.007670108
237,2137.829,-0.017424256
238,2145.239,-0.033223557
239,2152.648,-0.058759668
240,2160.058,-0.085260738
241,2167.467,-0.099604717
242,2174.875,-0.088443367
243,2182.283,-0.059109941
244,2189.69,-0.046450432
245,2197.097,-0.297072947
246,2204.503,-0.408178454
247,2211.909,-0.122480092
248,2219.315,-0.189840357
249,2226.719,-0.277951823
250,2234.123,-0.410261215
251,2241.527,-0.499673826
252,2248.93,-0.582140087
253,2256.333,-0.634571074
254,2263.735,-0.668066522
255,2271.137,-0.595507169
256,2278.538,-0.604216485
257,2285.939,-0.708437394
258,2293.339,-0.947804544
259,2300.738,-1.037417149
260,2308.136,-0.547111341
261,2315.534,-0.598575324
262,2322.933,-0.836520595
263,2330.33,-0.649342131
264,2337.726,-0.972215693
265,2345.122,-1.267667501
266,2352.517,-1.07395949
267,2359.913,-0.590923428
268,2367.307,-0.712002557
269,2374.701,-1.054197487
270,2382.093,-0.595697474
271,2389.486,-0.583196119
272,2396.878,-0.569557029
273,2404.27,-0.442211103
274,2411.66,-0.264869489
275,2419.051,-0.266824474
276,2426.44,-0.304384216
277,2433.83,-0.189859487
278,2441.218,-0.151384564
279,2448.606,-0.134074799
280,2455.994,-0.096326609
281,2463.382,-0.06455497
282,2470.768,-0.050180461
283,2478.153,-0.033475241
284,2485.539,-0.0251761
285,2492.924,-0.029341538
